Movie character Arwen Undómiel in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Elven princess, Middle-earth, Romantic fantasy, Flowing dresses, Enchanted forests, Ethereal beauty :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Lena Double in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Mysterious woman, Film noir, Femme fatale, Double cross, Dark alley, Shadowy figure :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Dwayne Hoover in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Car salesman, Existential crisis, Color blindness, Midlife meltdown, Convertible, Angst :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Olive Hoover in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Beauty pageant, Quirky family, Yellow Volkswagen van, Dancing, Ice cream, Glasses :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Frank Ginsburg in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Musician, The Wonders, 1960s, Rock and roll, Shades, Guitar :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Jim Sullivan in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Folk singer, Inside Llewyn Davis, Struggling artist, Winter, Greenwich Village, Guitar case :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Michael Rezendes in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Investigative journalist, Spotlight team, Boston Globe, Truth seeking, Newspaper office, Press pass :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Sacha Pfeiffer in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Investigative journalist, Spotlight team, Boston Globe, Interviews, Research, Notebook :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Sgt. William James in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Bomb disposal expert, Iraq War, Adrenaline junkie, PTSD, Helmet, Sandstorms :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Ramona Flower in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Mysterious girl, Scott Pilgrim vs. The World, Colorful hair, Cool girl, Skateboard, Star scarf :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Scott Pilgrim in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Bass guitarist, Comic book, Toronto, Video games, Indie rock, Fight for love :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Julie Powers in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Scott Pilgrim's ex-girlfriend, Envy Adams' bandmate, Rock chick, Short hair, Punk attitude, Tattoos :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Steven Murphy in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Heart surgeon, The Killing of a Sacred Deer, Morality, Secrets, Dark themes, White doctor's coat :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Anna Murphy in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Ophthalmologist, The Killing of a Sacred Deer, Family dynamics, Awkwardness, Relationships, Distant :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Clementine Kruczynski in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Eternal Sunshine of the Spotless Mind, Free spirit, Blue hair, Vibrant personality, Memory erasure, Montauk :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Joel Barish in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Eternal Sunshine of the Spotless Mind, Introverted, Emotional journey, Love story, Beard, Train station :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Travis Bickle in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Taxi Driver, Loneliness, Vigilante, New York City, Disturbed, Mohawk :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Tom Hansen in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [500 Days of Summer, Hopeless romantic, Greeting cards, LA architecture, Relationships, Blue :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Summer in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [500 Days of Summer, Manic pixie dream girl, Indie music, Adventure, Sundresses, Sunglasses :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Jake Gittes in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Chinatown, Private investigator, Film noir, Los Angeles, Water, Trench coat :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Ida Sessions in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Chinatown, Femme fatale, Mysterious woman, Film noir, Elegant, Classic beauty :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Evelyn Cross Mulwray in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Chinatown, Femme fatale, Mysterious woman, Water, Tragic, California drought :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Lisa Rowe in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Girl, Interrupted, Mental institution, Rebellious, Manipulative, Daisy chains, Cigarettes :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
